from	to	combined_score	Protein1	Protein2
9606.ENSP00000363770	9606.ENSP00000379866	226	C1QC	COL4A4
9606.ENSP00000379823	9606.ENSP00000379866	995	COL4A3	COL4A4
9606.ENSP00000379823	9606.ENSP00000379866	995	COL4A3	COL4A4
9606.ENSP00000273857	9606.ENSP00000380855	353	CORIN	PDCD1LG2
9606.ENSP00000273857	9606.ENSP00000380855	353	CORIN	PDCD1LG2
9606.ENSP00000278407	9606.ENSP00000380855	212	SERPING1	PDCD1LG2
9606.ENSP00000278407	9606.ENSP00000380855	212	SERPING1	PDCD1LG2
9606.ENSP00000289707	9606.ENSP00000380855	189	SLAMF8	PDCD1LG2
9606.ENSP00000289707	9606.ENSP00000380855	189	SLAMF8	PDCD1LG2
9606.ENSP00000318982	9606.ENSP00000380855	151	EPSTI1	PDCD1LG2
9606.ENSP00000318982	9606.ENSP00000380855	151	EPSTI1	PDCD1LG2
9606.ENSP00000330200	9606.ENSP00000380855	223	BTNL9	PDCD1LG2
9606.ENSP00000330200	9606.ENSP00000380855	223	BTNL9	PDCD1LG2
9606.ENSP00000346839	9606.ENSP00000380855	301	FN1	PDCD1LG2
9606.ENSP00000346839	9606.ENSP00000380855	301	FN1	PDCD1LG2
9606.ENSP00000349365	9606.ENSP00000380855	183	IL27	PDCD1LG2
9606.ENSP00000349365	9606.ENSP00000380855	183	IL27	PDCD1LG2
9606.ENSP00000357920	9606.ENSP00000380855	150	DDO	PDCD1LG2
9606.ENSP00000357920	9606.ENSP00000380855	150	DDO	PDCD1LG2
9606.ENSP00000358165	9606.ENSP00000380855	496	FCGR1A	PDCD1LG2
9606.ENSP00000358165	9606.ENSP00000380855	496	FCGR1A	PDCD1LG2
9606.ENSP00000359488	9606.ENSP00000380855	211	GBP5	PDCD1LG2
9606.ENSP00000359488	9606.ENSP00000380855	211	GBP5	PDCD1LG2
9606.ENSP00000359504	9606.ENSP00000380855	322	GBP1	PDCD1LG2
9606.ENSP00000359504	9606.ENSP00000380855	322	GBP1	PDCD1LG2
9606.ENSP00000363773	9606.ENSP00000380855	233	C1QA	PDCD1LG2
9606.ENSP00000363773	9606.ENSP00000380855	233	C1QA	PDCD1LG2
9606.ENSP00000368314	9606.ENSP00000380855	353	NRCAM	PDCD1LG2
9606.ENSP00000368314	9606.ENSP00000380855	353	NRCAM	PDCD1LG2
9606.ENSP00000370989	9606.ENSP00000380855	996	CD274	PDCD1LG2
9606.ENSP00000370989	9606.ENSP00000380855	996	CD274	PDCD1LG2
9606.ENSP00000374135	9606.ENSP00000380855	194	LRP1B	PDCD1LG2
9606.ENSP00000374135	9606.ENSP00000380855	194	LRP1B	PDCD1LG2
9606.ENSP00000265113	9606.ENSP00000381098	166	SLC1A3	GRIP1
9606.ENSP00000265113	9606.ENSP00000381098	166	SLC1A3	GRIP1
9606.ENSP00000349588	9606.ENSP00000381098	188	ANK2	GRIP1
9606.ENSP00000349588	9606.ENSP00000381098	188	ANK2	GRIP1
9606.ENSP00000355155	9606.ENSP00000381098	230	GRIN3A	GRIP1
9606.ENSP00000355155	9606.ENSP00000381098	230	GRIN3A	GRIP1
9606.ENSP00000368314	9606.ENSP00000381098	203	NRCAM	GRIP1
9606.ENSP00000368314	9606.ENSP00000381098	203	NRCAM	GRIP1
9606.ENSP00000331704	9606.ENSP00000385118	305	XKR3	PRR16
9606.ENSP00000331704	9606.ENSP00000385118	305	XKR3	PRR16
9606.ENSP00000216214	9606.ENSP00000387077	178	FAM118A	LYPD6B
9606.ENSP00000216214	9606.ENSP00000387077	178	FAM118A	LYPD6B
9606.ENSP00000344794	9606.ENSP00000387077	277	MOCS1	LYPD6B
9606.ENSP00000344794	9606.ENSP00000387077	277	MOCS1	LYPD6B
9606.ENSP00000359485	9606.ENSP00000387077	175	GBP6	LYPD6B
9606.ENSP00000359485	9606.ENSP00000387077	175	GBP6	LYPD6B
9606.ENSP00000366582	9606.ENSP00000387077	302	INSYN2B	LYPD6B
9606.ENSP00000366582	9606.ENSP00000387077	302	INSYN2B	LYPD6B
9606.ENSP00000222462	9606.ENSP00000396198	259	WNT16	FGF13
9606.ENSP00000222462	9606.ENSP00000396198	259	WNT16	FGF13
9606.ENSP00000262648	9606.ENSP00000396198	335	ANOS1	FGF13
9606.ENSP00000262648	9606.ENSP00000396198	335	ANOS1	FGF13
9606.ENSP00000265113	9606.ENSP00000396198	330	SLC1A3	FGF13
9606.ENSP00000265113	9606.ENSP00000396198	330	SLC1A3	FGF13
9606.ENSP00000272224	9606.ENSP00000396198	213	GDF7	FGF13
9606.ENSP00000272224	9606.ENSP00000396198	213	GDF7	FGF13
9606.ENSP00000273857	9606.ENSP00000396198	179	CORIN	FGF13
9606.ENSP00000273857	9606.ENSP00000396198	179	CORIN	FGF13
9606.ENSP00000331242	9606.ENSP00000396198	235	KREMEN1	FGF13
9606.ENSP00000331242	9606.ENSP00000396198	235	KREMEN1	FGF13
9606.ENSP00000344352	9606.ENSP00000396198	223	ATF3	FGF13
9606.ENSP00000344352	9606.ENSP00000396198	223	ATF3	FGF13
9606.ENSP00000346839	9606.ENSP00000396198	770	FN1	FGF13
9606.ENSP00000346839	9606.ENSP00000396198	770	FN1	FGF13
9606.ENSP00000355631	9606.ENSP00000396198	299	OTX1	FGF13
9606.ENSP00000355631	9606.ENSP00000396198	299	OTX1	FGF13
9606.ENSP00000356545	9606.ENSP00000396198	185	CACNA1E	FGF13
9606.ENSP00000356545	9606.ENSP00000396198	185	CACNA1E	FGF13
9606.ENSP00000358165	9606.ENSP00000396198	176	FCGR1A	FGF13
9606.ENSP00000358165	9606.ENSP00000396198	176	FCGR1A	FGF13
9606.ENSP00000368314	9606.ENSP00000396198	200	NRCAM	FGF13
9606.ENSP00000368314	9606.ENSP00000396198	200	NRCAM	FGF13
9606.ENSP00000370989	9606.ENSP00000396198	320	CD274	FGF13
9606.ENSP00000370989	9606.ENSP00000396198	320	CD274	FGF13
9606.ENSP00000378356	9606.ENSP00000396198	254	KIF20A	FGF13
9606.ENSP00000378356	9606.ENSP00000396198	254	KIF20A	FGF13
9606.ENSP00000379823	9606.ENSP00000396198	285	COL4A3	FGF13
9606.ENSP00000379823	9606.ENSP00000396198	285	COL4A3	FGF13
9606.ENSP00000380855	9606.ENSP00000396198	171	PDCD1LG2	FGF13
9606.ENSP00000380855	9606.ENSP00000396198	171	PDCD1LG2	FGF13
9606.ENSP00000222462	9606.ENSP00000398273	241	WNT16	SOX5
9606.ENSP00000222462	9606.ENSP00000398273	241	WNT16	SOX5
9606.ENSP00000272224	9606.ENSP00000398273	151	GDF7	SOX5
9606.ENSP00000272224	9606.ENSP00000398273	151	GDF7	SOX5
9606.ENSP00000344352	9606.ENSP00000398273	178	ATF3	SOX5
9606.ENSP00000344352	9606.ENSP00000398273	178	ATF3	SOX5
9606.ENSP00000346839	9606.ENSP00000398273	233	FN1	SOX5
9606.ENSP00000346839	9606.ENSP00000398273	233	FN1	SOX5
9606.ENSP00000355631	9606.ENSP00000398273	314	OTX1	SOX5
9606.ENSP00000355631	9606.ENSP00000398273	314	OTX1	SOX5
9606.ENSP00000396198	9606.ENSP00000398273	243	FGF13	SOX5
9606.ENSP00000396198	9606.ENSP00000398273	243	FGF13	SOX5
9606.ENSP00000349588	9606.ENSP00000407118	151	ANK2	SYBU
9606.ENSP00000349588	9606.ENSP00000407118	151	ANK2	SYBU
9606.ENSP00000366283	9606.ENSP00000407118	206	SLITRK5	SYBU
9606.ENSP00000366283	9606.ENSP00000407118	206	SLITRK5	SYBU
9606.ENSP00000381098	9606.ENSP00000407118	408	GRIP1	SYBU
9606.ENSP00000381098	9606.ENSP00000407118	408	GRIP1	SYBU
9606.ENSP00000155093	9606.ENSP00000413150	226	ZFY	C1orf226
9606.ENSP00000155093	9606.ENSP00000413150	226	ZFY	C1orf226
9606.ENSP00000250784	9606.ENSP00000413150	223	RPS4Y1	C1orf226
9606.ENSP00000250784	9606.ENSP00000413150	223	RPS4Y1	C1orf226
9606.ENSP00000322408	9606.ENSP00000413150	175	KDM5D	C1orf226
9606.ENSP00000322408	9606.ENSP00000413150	175	KDM5D	C1orf226
9606.ENSP00000331704	9606.ENSP00000413150	201	XKR3	C1orf226
9606.ENSP00000331704	9606.ENSP00000413150	201	XKR3	C1orf226
9606.ENSP00000342812	9606.ENSP00000413150	220	USP9Y	C1orf226
9606.ENSP00000342812	9606.ENSP00000413150	220	USP9Y	C1orf226
9606.ENSP00000351770	9606.ENSP00000413150	322	FHAD1	C1orf226
9606.ENSP00000351770	9606.ENSP00000413150	322	FHAD1	C1orf226
9606.ENSP00000353284	9606.ENSP00000413150	183	DDX3Y	C1orf226
9606.ENSP00000353284	9606.ENSP00000413150	183	DDX3Y	C1orf226
9606.ENSP00000354722	9606.ENSP00000413150	246	EIF1AY	C1orf226
9606.ENSP00000354722	9606.ENSP00000413150	246	EIF1AY	C1orf226
9606.ENSP00000355133	9606.ENSP00000413150	943	NOS1AP	C1orf226
9606.ENSP00000355133	9606.ENSP00000413150	943	NOS1AP	C1orf226
9606.ENSP00000322408	9606.ENSP00000428657	251	KDM5D	NAIP
9606.ENSP00000322408	9606.ENSP00000428657	251	KDM5D	NAIP
9606.ENSP00000331704	9606.ENSP00000428657	151	XKR3	NAIP
9606.ENSP00000331704	9606.ENSP00000428657	151	XKR3	NAIP
9606.ENSP00000349588	9606.ENSP00000428657	198	ANK2	NAIP
9606.ENSP00000349588	9606.ENSP00000428657	198	ANK2	NAIP
9606.ENSP00000358165	9606.ENSP00000428657	199	FCGR1A	NAIP
9606.ENSP00000358165	9606.ENSP00000428657	199	FCGR1A	NAIP
9606.ENSP00000359488	9606.ENSP00000428657	299	GBP5	NAIP
9606.ENSP00000359488	9606.ENSP00000428657	299	GBP5	NAIP
9606.ENSP00000359504	9606.ENSP00000428657	174	GBP1	NAIP
9606.ENSP00000359504	9606.ENSP00000428657	174	GBP1	NAIP
9606.ENSP00000376849	9606.ENSP00000428657	899	CASP5	NAIP
9606.ENSP00000376849	9606.ENSP00000428657	899	CASP5	NAIP
9606.ENSP00000155093	9606.ENSP00000442047	960	ZFY	UTY
9606.ENSP00000155093	9606.ENSP00000442047	960	ZFY	UTY
9606.ENSP00000250784	9606.ENSP00000442047	943	RPS4Y1	UTY
9606.ENSP00000250784	9606.ENSP00000442047	943	RPS4Y1	UTY
