Protein1	Protein2	combined_score
ANXA3	CASP5	202
FN1	FOLR3	202
MYOM2	CD274	201
XKR3	C1orf226	201
SLC1A3	FN1	200
SEPTIN4	GBP5	200
NRCAM	FGF13	200
ATF3	IFI27	200
ANOS1	USP9Y	199
C1QB	ATF3	199
FCGR1A	NAIP	199
BATF2	C1QC	198
SERPING1	CASP5	198
ANK2	NAIP	198
LYPD6B	UTY	198
SEPTIN4	GBP6	197
ETV7	IFI27	196
RPS4Y1	XKR3	194
WDR17	EIF1AY	194
C1QB	GBP6	194
GBP1	C1QC	194
LRP1B	PDCD1LG2	194
IFT56	UTY	194
C1QB	FOLR3	194
GBP5	GPR84	193
ATF3	GBP1	191
CASP5	GPR84	191
SYBU	SYN2	191
SEPTIN4	FCGR1A	190
SLC26A8	ANKRD22	190
GBP6	IFI27	190
SLAMF8	PDCD1LG2	189
MYOM2	ANK2	188
SLITRK5	INSYN2B	188
ANK2	GRIP1	188
FCGR1A	IFI27	188
COCH	MMP19	187
CORIN	FN1	187
SLC26A8	ANK2	187
FN1	MOXD1	186
EIF1AY	ANKRD22	186
CACNA1E	FGF13	185
FHAD1	CSMD1	185
FFAR3	C1QC	184
ANXA3	FOLR3	184
C1QB	CD274	183
IL27	PDCD1LG2	183
DDX3Y	C1orf226	183
C1orf226	UTY	183
NRCAM	CSMD1	183
SLAMF8	ETV7	182
MMP19	C1QA	182
ANKRD22	CASP5	182
HP	CD274	181
CD274	TMEM119	181
CD177	IFI27	181
EPSTI1	FCGR1A	180
ANK2	UTY	180
SYBU	PKIB	180
CORIN	FGF13	179
GRIP1	SYN2	179
SRGAP1	NRN1	179
KREMEN1	APOL4	178
WNT16	FN1	178
NOS1AP	KCNK17	178
CACNA1E	SLITRK5	178
FAM118A	LYPD6B	178
ATF3	SOX5	178
CD274	GPR84	178
GBP6	GBP1	177
MMP19	C1QC	177
ANXA3	C1QA	177
PLLP	SLC1A3	176
ATF3	C1QC	176
NRCAM	LRP1B	176
VSIG10	TMEM119	176
BATF2	CASP5	176
FCGR1A	FGF13	176
ANOS1	DDX3Y	175
APOL4	C1QA	175
GBP6	LYPD6B	175
KDM5D	C1orf226	175
ANXA3	IFI27	175
MYOM2	HP	174
GBP1	NAIP	174
GRIN3A	ROR1	173
KREMEN1	ANKRD22	173
NOS1AP	LRP1B	173
SYBU	UTY	173
SERPING1	CD177	173
ZFY	XKR3	172
C1QB	SEPTIN4	172
FGF13	NRN1	172
SLAMF8	IFI27	172
SOX5	CSMD1	172
SERPING1	ATF3	171
PDCD1LG2	FGF13	171
ZFY	ANKRD22	170
ANK2	CD177	170
SERPING1	MMP19	169
MOCS1	DDO	169
ZFY	INSYN2B	169
SLITRK5	NRCAM	169
FFAR3	IL27	168
FN1	TMEM119	168
FFAR3	CASP5	168
MYOM2	SERPING1	167
BTNL9	ANKRD22	167
SEPTIN4	C1QC	167
GBP6	C1QA	167
NOS1AP	NRN1	167
NRCAM	NRN1	167
SEPTIN4	GBP1	166
SLC1A3	GRIP1	166
EPSTI1	C1QC	165
FAM118A	ARL17B	165
LRP1B	SYN2	165
ANK2	CSMD1	165
ANXA3	CD274	164
ETV7	CASP5	164
ANK2	ZDHHC11B	164
NOS1AP	ZDHHC11B	164
C1QA	CD177	164
SOX5	PLEKHG7	164
MYOM2	KDM5D	163
SERPING1	APOL4	163
ETV7	GRIN3A	163
IL27	CASP5	163
SEPTIN4	KIF20A	163
EPSTI1	GPR84	163
GBP6	CASP5	162
C1QB	COL4A4	162
C1QC	NRN1	162
XKR3	USP9Y	161
SLC1A3	MOCS1	161
BATF2	IL27	161
CORIN	ROR1	161
C1QB	COL4A3	161
SLC26A8	UTY	161
MYOM2	C1QB	160
FCGR1A	ROR1	160
BHLHE41	TMEM119	160
C1QB	ETV7	159
HP	ANK2	159
MYOM2	C1QA	159
ROR1	LRP1B	159
ATF3	TMEM119	159
LYPD6B	CD177	159
FN1	SYN2	159
MMP19	C1QB	158
KDM5D	XKR3	158
GBP6	GBP5	158
ANK2	CD274	158
IL27	GPR84	158
BHLHE41	C1QB	157
CORIN	FCGR1A	157
SLAMF8	GBP6	157
C1QC	CASP5	157
ATF3	GBP5	156
CORIN	LRP1B	156
C1QA	FOLR3	156
COCH	HPN	155
HPN	SERPING1	153
SEPTIN4	SYN2	153
ANKRD22	IFI27	153
SLAMF8	CASP5	152
SOX5	UTY	152
FBXO39	IFI27	152
EPSTI1	PDCD1LG2	151
GDF7	SOX5	151
ANK2	SYBU	151
XKR3	NAIP	151
PDCD1LG2	FOLR3	151
SERPING1	SLAMF8	150
SLC1A3	C1QC	150
DDO	PDCD1LG2	150
SYBU	NRN1	150
